{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.26', 'reading_time': '2023-07-19T17:45:55.194741-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:45:57.278272-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '30', 'reading_time': '2023-07-19T17:45:59.345971-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:46:01.448732-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '31.36', 'reading_time': '2023-07-19T17:46:03.523712-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:46:05.612274-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '31', 'reading_time': '2023-07-19T17:46:07.703298-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:46:09.791028-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.95', 'reading_time': '2023-07-19T17:46:11.997132-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:46:14.123843-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '32', 'reading_time': '2023-07-19T17:46:16.195284-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:46:18.260757-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.27', 'reading_time': '2023-07-19T17:46:20.327388-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:46:22.383299-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '30', 'reading_time': '2023-07-19T17:46:24.514954-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:46:26.713003-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '31.37', 'reading_time': '2023-07-19T17:46:28.889928-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'detected', 'reading_val_type': 'number', 'reading_val': 'Motion', 'reading_time': '2023-07-19T17:46:30.951547-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '31', 'reading_time': '2023-07-19T17:46:33.019729-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:46:35.107801-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.95', 'reading_time': '2023-07-19T17:46:37.162432-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:46:39.483938-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '32', 'reading_time': '2023-07-19T17:46:41.538912-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:46:43.593496-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.27', 'reading_time': '2023-07-19T17:46:45.657165-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:46:47.749906-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '30', 'reading_time': '2023-07-19T17:46:49.794233-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:46:52.099587-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '31.37', 'reading_time': '2023-07-19T17:46:54.180406-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:46:56.250662-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '31', 'reading_time': '2023-07-19T17:46:58.328866-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:47:00.423497-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.95', 'reading_time': '2023-07-19T17:47:02.495149-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:47:04.713704-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '32', 'reading_time': '2023-07-19T17:47:06.863689-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:47:08.948002-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.28', 'reading_time': '2023-07-19T17:47:11.012733-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:47:13.086251-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '30', 'reading_time': '2023-07-19T17:47:15.161061-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:47:17.315899-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '31.37', 'reading_time': '2023-07-19T17:47:19.429507-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'motion', 'reading_val_type': 'number', 'reading_val': 'No', 'reading_time': '2023-07-19T17:47:21.500338-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'humidity', 'reading_unit': 'percent', 'reading_val_type': 'number', 'reading_val': '31', 'reading_time': '2023-07-19T17:47:23.572976-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pressure', 'reading_unit': 'hectopascal', 'reading_val_type': 'number', 'reading_val': '98', 'reading_time': '2023-07-19T17:47:25.661483-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'temperature', 'reading_unit': 'celsius', 'reading_val_type': 'number', 'reading_val': '32.96', 'reading_time': '2023-07-19T17:47:27.731979-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
