{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:35.586084-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:35.759552-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:35.914720-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:38.858564-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:39.086204-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:39.475563-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:41.832786-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:42.015239-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:42.199593-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:45.110997-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:45.299799-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': True, 'reading_time': '2023-07-20T10:14:45.470384-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:48.380561-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:48.557675-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': True, 'reading_time': '2023-07-20T10:14:48.753149-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:51.422422-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:51.607206-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:51.867409-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:54.667323-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:54.851055-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:55.035594-0500', 'hardware_info': {'sensor_id': 'PIR3', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:57.799275-0500', 'hardware_info': {'sensor_id': 'PIR7', 'sensor_device': 'Arduino MKR 1010'}}]}}}
{'installation_id': 'rayzor', 'collector_id': 'rayzor2015', 'device_reports': {'Zone-2015': {'readings': [{'reading_type': 'pir_motion', 'reading_unit': 'flag', 'reading_val_type': 'boolean', 'reading_val': False, 'reading_time': '2023-07-20T10:14:57.990118-0500', 'hardware_info': {'sensor_id': 'PIR8', 'sensor_device': 'Arduino MKR 1010'}}]}}}
